"ID";"EnergySourcesAndTechniques";"EnergyApplication";"Periods";"FinalConsumption_1";"FinalConsumptionRelative_2"
"290";"E007209 ";"E007022 ";"2008JJ00";;
"291";"E007209 ";"E007022 ";"2009JJ00";;
"292";"E007209 ";"E007022 ";"2010JJ00";;
"293";"E007209 ";"E007022 ";"2011JJ00";;
"294";"E007209 ";"E007022 ";"2012JJ00";;
"295";"E007209 ";"E007022 ";"2013JJ00";;
"296";"E007209 ";"E007022 ";"2014JJ00";;
"297";"E007209 ";"E007022 ";"2015JJ00";;
"298";"E007209 ";"E007022 ";"2016JJ00";;
"299";"E007209 ";"E007022 ";"2017JJ00";;
"300";"E007209 ";"E007022 ";"2018JJ00";;
"301";"E007209 ";"E007022 ";"2019JJ00";;
"302";"E007209 ";"E007022 ";"2020JJ00";"49140";"2.53"
"303";"E007209 ";"E007022 ";"2021JJ00";;
"304";"E007209 ";"E007022 ";"2022JJ00";;
"305";"E007209 ";"E007022 ";"2023JJ00";;
"306";"E007209 ";"E006607 ";"1990JJ00";;
"307";"E007209 ";"E006607 ";"1991JJ00";;
"308";"E007209 ";"E006607 ";"1992JJ00";;
"309";"E007209 ";"E006607 ";"1993JJ00";;
"310";"E007209 ";"E006607 ";"1994JJ00";;
"311";"E007209 ";"E006607 ";"1995JJ00";;
"312";"E007209 ";"E006607 ";"1996JJ00";;
"313";"E007209 ";"E006607 ";"1997JJ00";;
"314";"E007209 ";"E006607 ";"1998JJ00";;
"315";"E007209 ";"E006607 ";"1999JJ00";;
"316";"E007209 ";"E006607 ";"2000JJ00";;
"317";"E007209 ";"E006607 ";"2001JJ00";;
"318";"E007209 ";"E006607 ";"2002JJ00";;
"319";"E007209 ";"E006607 ";"2003JJ00";;
"320";"E007209 ";"E006607 ";"2004JJ00";;
"321";"E007209 ";"E006607 ";"2005JJ00";;
"322";"E007209 ";"E006607 ";"2006JJ00";;
"323";"E007209 ";"E006607 ";"2007JJ00";;
"324";"E007209 ";"E006607 ";"2008JJ00";;
"325";"E007209 ";"E006607 ";"2009JJ00";;
"326";"E007209 ";"E006607 ";"2010JJ00";;
"327";"E007209 ";"E006607 ";"2011JJ00";;
"328";"E007209 ";"E006607 ";"2012JJ00";;
"329";"E007209 ";"E006607 ";"2013JJ00";;
"330";"E007209 ";"E006607 ";"2014JJ00";;
"331";"E007209 ";"E006607 ";"2015JJ00";;
"332";"E007209 ";"E006607 ";"2016JJ00";;
"333";"E007209 ";"E006607 ";"2017JJ00";;
"334";"E007209 ";"E006607 ";"2018JJ00";;
"335";"E007209 ";"E006607 ";"2019JJ00";;
"336";"E007209 ";"E006607 ";"2020JJ00";;
"337";"E007209 ";"E006607 ";"2021JJ00";;
"338";"E007209 ";"E006607 ";"2022JJ00";;
"339";"E007209 ";"E006607 ";"2023JJ00";;
"340";"E007209 ";"E006608 ";"1990JJ00";;
"341";"E007209 ";"E006608 ";"1991JJ00";;
"342";"E007209 ";"E006608 ";"1992JJ00";;
"343";"E007209 ";"E006608 ";"1993JJ00";;
"344";"E007209 ";"E006608 ";"1994JJ00";;
"345";"E007209 ";"E006608 ";"1995JJ00";;
"346";"E007209 ";"E006608 ";"1996JJ00";;
"347";"E007209 ";"E006608 ";"1997JJ00";;
"348";"E007209 ";"E006608 ";"1998JJ00";;
"349";"E007209 ";"E006608 ";"1999JJ00";;
"350";"E007209 ";"E006608 ";"2000JJ00";;
"351";"E007209 ";"E006608 ";"2001JJ00";;
"352";"E007209 ";"E006608 ";"2002JJ00";;
"353";"E007209 ";"E006608 ";"2003JJ00";;
"354";"E007209 ";"E006608 ";"2004JJ00";;
"355";"E007209 ";"E006608 ";"2005JJ00";;
"356";"E007209 ";"E006608 ";"2006JJ00";;
"357";"E007209 ";"E006608 ";"2007JJ00";;
"358";"E007209 ";"E006608 ";"2008JJ00";;
"359";"E007209 ";"E006608 ";"2009JJ00";;
"360";"E007209 ";"E006608 ";"2010JJ00";;
